0,27/09/2017,12:58,65
1,27/09/2017,12:48,53
2,27/09/2017,12:38,61
3,27/09/2017,12:28,56
4,27/09/2017,12:18,55
5,27/09/2017,12:08,58
6,27/09/2017,11:58,62
7,27/09/2017,11:48,54
8,27/09/2017,11:38,60
9,27/09/2017,11:28,61
10,27/09/2017,11:18,57
11,27/09/2017,11:08,62
12,27/09/2017,10:58,68
13,27/09/2017,10:48,51
14,27/09/2017,10:38,49
15,27/09/2017,10:28,56
16,27/09/2017,10:18,68
17,27/09/2017,10:08,59
18,27/09/2017,09:58,58
19,27/09/2017,09:48,50
20,27/09/2017,09:38,56
21,27/09/2017,09:28,63
22,27/09/2017,09:18,64
23,27/09/2017,09:08,51
24,27/09/2017,08:58,68
25,27/09/2017,08:48,48
26,27/09/2017,08:38,54
27,27/09/2017,08:28,53
28,27/09/2017,08:18,67
29,27/09/2017,08:08,65
30,27/09/2017,07:58,66
31,27/09/2017,07:48,55
32,27/09/2017,07:38,57
33,27/09/2017,07:28,58
34,27/09/2017,07:18,58
35,27/09/2017,07:08,59
36,27/09/2017,06:58,64
37,27/09/2017,06:48,66
38,27/09/2017,06:38,60
39,27/09/2017,06:28,38
40,27/09/2017,06:18,52
41,27/09/2017,06:08,65
42,27/09/2017,05:58,54
43,27/09/2017,05:48,74
44,27/09/2017,05:38,57
45,27/09/2017,05:28,55
46,27/09/2017,05:18,63
47,27/09/2017,05:08,66
48,27/09/2017,04:58,51
49,27/09/2017,04:48,66
50,27/09/2017,04:38,50
51,27/09/2017,04:28,61
52,27/09/2017,04:18,54
53,27/09/2017,04:08,53
54,27/09/2017,03:58,69
55,27/09/2017,03:48,55
56,27/09/2017,03:38,60
57,27/09/2017,03:28,65
58,27/09/2017,03:18,44
59,27/09/2017,03:08,66
60,27/09/2017,02:58,64
61,27/09/2017,02:48,46
62,27/09/2017,02:38,55
63,27/09/2017,02:28,56
64,27/09/2017,02:18,62
65,27/09/2017,02:08,61
66,27/09/2017,01:58,62
67,27/09/2017,01:48,55
68,27/09/2017,01:38,75
69,27/09/2017,01:28,66
70,27/09/2017,01:18,72
71,27/09/2017,01:08,61
72,27/09/2017,00:58,54
73,27/09/2017,00:48,55
74,27/09/2017,00:38,50
75,27/09/2017,00:28,57
76,27/09/2017,00:18,68
77,27/09/2017,00:08,69
78,26/09/2017,23:58,59
79,26/09/2017,23:48,53
80,26/09/2017,23:38,56
81,26/09/2017,23:28,56
82,26/09/2017,23:18,61
83,26/09/2017,23:08,65
84,26/09/2017,22:58,69
85,26/09/2017,22:48,54
